"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"mean.phiA[1]",0.82662272122155,0.0607972540245487,0.682943447049051,0.792386056024257,0.834732091768708,0.868558422231473,0.926819816428171,1.00811338242292,628,0,1
"mean.phiA[2]",0.835637156528629,0.100264943630118,0.572323165007766,0.793128008921415,0.853567093447029,0.898836499265002,0.966810330154789,1.14191078310178,52,0,1
"mean.phiB[1]",0.940050504299069,0.0546223225509031,0.786774405678302,0.921813180062067,0.952006190129471,0.975741721266448,0.996050004385421,1.18834839806507,31,0,1
"mean.phiB[2]",0.877805753872052,0.067695764639098,0.721808759015351,0.839334681098991,0.886572308942809,0.926829574331193,0.979829615938008,1.00005646146617,13457,0,1
"mean.psiAB[1]",0.206297284165461,0.0348443746594008,0.14214247627758,0.182372843262975,0.205121310317667,0.228535726601801,0.279270420130395,0.999964763109256,13500,0,1
"mean.psiAB[2]",0.210833299577218,0.0553295180325232,0.117333629346982,0.172126223637911,0.205678039195357,0.243430217659079,0.333974887596946,1.00065081185001,13500,0,1
"mean.psiBA[1]",0.400588377346936,0.0607224581506698,0.280808230007843,0.360579649870638,0.400317495747085,0.440783298651812,0.520032965345658,1.00023140495819,7380,0,1
"mean.psiBA[2]",0.420340402988668,0.0873090587722236,0.253022197878805,0.360621417468174,0.418899323131599,0.478790762139066,0.596588826340784,1.00026539249673,7188,0,1
"mean.pA[1]",0.622439698044087,0.0730900097945911,0.473589925521421,0.575758092472362,0.62480761588728,0.671883878666977,0.760070185741024,1.00198167072118,1085,0,1
"mean.pA[2]",0.699953702958629,0.0656516701837701,0.567916653788637,0.65692585664038,0.700363624351898,0.74324022789329,0.826100034225264,1.00041960149453,9220,0,1
"mean.pB[1]",0.954644781255736,0.040149701481216,0.853263914838484,0.935373491810902,0.964231309676783,0.984554502203577,0.998949187594052,1.00050818249015,5393,0,1
"mean.pB[2]",0.939491612463761,0.0755809080522771,0.721776714669193,0.920384826281885,0.965779710524298,0.988274912358527,0.99939270824136,1.00072810116745,13500,0,1
"beta.phiA[1]",0.385411310264404,0.784716308224468,-1.11842410153244,-0.109797377618262,0.359953883122438,0.859258784103376,1.99626756382012,1.0036220422141,1626,1,0.697703703703704
"beta.phiA[2]",2.50795155668545,1.61184489279159,-0.201396166405673,1.46215478994479,2.328689478253,3.35167258546008,6.41557664380241,1.02539060281757,136,1,0.965555555555556
"beta.phiB[1]",4.02768355392956,3.81043337099082,-3.78750204609952,1.25861490008339,4.3641506057082,7.19496952233034,9.71830484848831,1.00471453985618,559,1,0.833333333333333
"beta.phiB[2]",2.96978706516502,1.84543500969485,0.0339112356857078,1.80152476663387,2.69335435145732,3.81915619813022,7.95245086072425,1.00456875270612,1101,0,0.975851851851852
"beta.pA[1]",1.32894992771802,0.640055282501567,0.0634859929821965,0.915047650770828,1.32873930452905,1.74474733863599,2.62204021810381,1.00127492725868,1784,0,0.980296296296296
"beta.pA[2]",-0.0119970225620317,0.480026988794468,-0.9471413838378,-0.316750058278248,-0.00804041058095394,0.297626129494286,0.924055020756465,1.00074670660813,12522,1,0.508
"beta.pB[1]",4.40222977846529,3.48642695500342,-2.31304273085979,1.69626371470945,4.65517527629165,7.39112208781371,9.71995394726783,1.00893135093489,234,1,0.870666666666667
"beta.pB[2]",4.34413223591025,3.60844965622261,-3.14732708621881,1.77878845450511,4.65527892165533,7.35216708242347,9.71986318362302,1.00005766100997,13500,1,0.868296296296296
"beta.psiAB[1]",-0.442817033335343,0.412234093650477,-1.27347760588723,-0.71161267765457,-0.433924932015795,-0.166630077537782,0.356526871966033,1.00042537984587,4279,1,0.863111111111111
"beta.psiAB[2]",1.24936548105238,0.446720820886357,0.360420782756551,0.959620689320267,1.24937546007899,1.53831149774311,2.13882558067967,1.00074359750838,13500,0,0.996592592592593
"beta.psiBA[1]",-0.491496695305666,0.549266226812658,-1.59062487575145,-0.855099298315083,-0.482248474204849,-0.128023999702089,0.569094009708985,1.0000130794186,13500,1,0.817111111111111
"beta.psiBA[2]",-1.31458062857167,0.551135820215766,-2.43529351283506,-1.6635863764234,-1.30025310000373,-0.950981990921517,-0.25883462518856,1.00243457304767,998,0,0.992148148148148
"phiA0[1]",0.82662272122155,0.0607972540245487,0.682943447049051,0.792386056024257,0.834732091768708,0.868558422231473,0.926819816428171,1.00811338242292,628,0,1
"phiA0[2]",0.835637156528629,0.100264943630118,0.572323165007766,0.793128008921415,0.853567093447029,0.898836499265002,0.966810330154789,1.14191078310178,52,0,1
"phiA1[1]",0.864739366188439,0.0745550375022178,0.6801932558879,0.827593823653834,0.878109231491656,0.917524610525868,0.968198553189728,1.00064239329224,4192,0,1
"phiA1[2]",0.971038378741662,0.0408532262640054,0.87140651327582,0.963658858390637,0.983534473485272,0.993946443133641,0.999606144460541,1.03149667197115,768,0,1
"phiB0[1]",0.940050504299069,0.0546223225509031,0.786774405678302,0.921813180062067,0.952006190129471,0.975741721266448,0.996050004385421,1.18834839806507,31,0,1
"phiB0[2]",0.877805753872052,0.067695764639098,0.721808759015351,0.839334681098991,0.886572308942809,0.926829574331193,0.979829615938008,1.00005646146617,13457,0,1
"phiB1[1]",0.951054895212582,0.146609561368209,0.405541809925697,0.988058590489463,0.999399955496555,0.999963795322561,0.999998151053248,1.00854459591849,826,0,1
"phiB1[2]",0.984252937415942,0.0358491642896331,0.935408371719215,0.981520568213446,0.991562344993767,0.997128004718008,0.999963325901619,1.10959703907208,2468,0,1
"psiA0[1]",0.206297284165461,0.0348443746594008,0.14214247627758,0.182372843262975,0.205121310317667,0.228535726601801,0.279270420130395,0.999964763109256,13500,0,1
"psiA0[2]",0.210833299577218,0.0553295180325232,0.117333629346982,0.172126223637911,0.205678039195357,0.243430217659079,0.333974887596946,1.00065081185001,13500,0,1
"psiA1[1]",0.146760919451103,0.0435220674589437,0.0738983708356392,0.115589630317123,0.142931319577173,0.173257526067035,0.243568092595381,1.00033058874829,4620,0,1
"psiA1[2]",0.474994626730124,0.0741034367390522,0.329961031003964,0.42631924978472,0.474655147234526,0.523418132774958,0.621182136373458,1.0000527248897,13500,0,1
"psiB0[1]",0.400588377346936,0.0607224581506698,0.280808230007843,0.360579649870638,0.400317495747085,0.440783298651812,0.520032965345658,1.00023140495819,7380,0,1
"psiB0[2]",0.420340402988668,0.0873090587722236,0.253022197878805,0.360621417468174,0.418899323131599,0.478790762139066,0.596588826340784,1.00026539249673,7188,0,1
"psiB1[1]",0.298697982574355,0.0984960873498408,0.130453481220144,0.226138512232033,0.290638476679509,0.363018801196313,0.509829495643922,1.00007479765061,12291,0,1
"psiB1[2]",0.1693005193977,0.0561163011532289,0.071629626334083,0.130153801356637,0.165555256672968,0.203737821571797,0.291023042117561,1.00180960390084,1158,0,1
"pA0[1]",0.622439698044087,0.0730900097945911,0.473589925521421,0.575758092472362,0.62480761588728,0.671883878666977,0.760070185741024,1.00198167072118,1085,0,1
"pA0[2]",0.699953702958629,0.0656516701837701,0.567916653788637,0.65692585664038,0.700363624351898,0.74324022789329,0.826100034225264,1.00041960149453,9220,0,1
"pA1[1]",0.850280159110396,0.0706206543284214,0.677349985279541,0.813878149193333,0.862283824558928,0.900597021604799,0.951126571943187,1.00122977863177,7678,0,1
"pA1[2]",0.697608794406502,0.0688811920407167,0.555470837526708,0.651287238099409,0.700887689924037,0.745528661955274,0.823174275401799,1.00007243655054,13500,0,1
"pB0[1]",0.954644781255736,0.040149701481216,0.853263914838484,0.935373491810902,0.964231309676783,0.984554502203577,0.998949187594052,1.00050818249015,5393,0,1
"pB0[2]",0.939491612463761,0.0755809080522771,0.721776714669193,0.920384826281885,0.965779710524298,0.988274912358527,0.99939270824136,1.00072810116745,13500,0,1
"pB1[1]",0.98126094640178,0.0636168560164694,0.812562314608577,0.994287097291313,0.999684459422145,0.999979990353613,0.999999283952062,1.01451721640101,731,0,1
"pB1[2]",0.976029055483109,0.0922661712877406,0.756082279363276,0.994523095196138,0.999663973784981,0.999976614964967,0.999999425846916,1.00354101348163,8475,0,1
"beta1.phiA[1]",-0.0385847581540454,0.0672425857392547,-0.170877666982786,-0.0807651690710409,-0.0388119720807408,0.00306610924781094,0.0976378638345912,1.00128315802339,1927,1,0.734296296296296
"beta1.phiA[2]",-0.0469731500945854,0.133454012178707,-0.307672923085189,-0.126608878429562,-0.0485312843535645,0.0290425367199558,0.220922842837208,1.01267072577527,962,1,0.66637037037037
