"param","median","X2.5.","X97.5.","vitrate","group"
"mu.sV[2]",2.16,1.05,4.35,"sV","2"
"sigma.sV2[2]",2.46,0.09,20.76,"sV","2"
"beta.sV[2]",1.8,0.03,7.46,"sV","2"
"mu.sF[2]",1.94,0.93,3.54,"sF","2"
"sigma.sF2[2]",0.81,0,7.03,"sF","2"
"beta.sF[2]",2.11,0.69,4.07,"sF","2"
"mu.fV[2]",-0.85,-1.58,-0.16,"fV","2"
"sigma.fV2[2]",0.18,0,1.02,"fV","2"
"beta.fV[2]",1.23,0.2,2.28,"fV","2"
"beta1.fV[2]",-0.01,-0.09,0.06,"fV","2"
"mu.fUV[2]",-1.52,-5.68,1.67,"fUV","2"
"sigma.fUV2[2]",35.01,0.24,96.11,"fUV","2"
"beta.fUV[2]",0.58,-8.94,8.99,"fUV","2"
"beta1.fUV[2]",-1.39,-5.56,0.11,"fUV","2"
"mu.fUF[2]",-0.01,-2.48,2.47,"fUF","2"
"sigma.fUF2[2]",0.58,0,7.92,"fUF","2"
"beta.fUF[2]",-0.62,-4.53,3.18,"fUF","2"
"beta1.fUF[2]",0.04,-0.2,0.28,"fUF","2"
"mu.fF[2]",0.51,-0.21,1.3,"fF","2"
"sigma.fF2[2]",0.22,0,1.07,"fF","2"
"beta.fF[2]",1.63,0.48,2.86,"fF","2"
"beta1.fF[2]",0,-0.09,0.08,"fF","2"
"mu.dV[2]",-1.27,-2.11,-0.55,"dV","2"
"sigma.dV2[2]",0.09,0,1.02,"dV","2"
"beta.dV[2]",-1.11,-2.47,0.13,"dV","2"
"beta1.dV[2]",0.03,-0.08,0.12,"dV","2"
"mu.dUV[2]",1.02,-0.39,2.75,"dUV","2"
"sigma.dUV2[2]",1.71,0.01,18.41,"dUV","2"
"beta.dUV[2]",-0.93,-3.91,2.47,"dUV","2"
"beta1.dUV[2]",0.09,-0.17,0.34,"dUV","2"
"mu.dUF[2]",0.05,-3.35,1.92,"dUF","2"
"sigma.dUF2[2]",0.46,0,6.24,"dUF","2"
"beta.dUF[2]",-0.91,-4.82,2.88,"dUF","2"
"beta1.dUF[2]",0.07,-0.14,0.32,"dUF","2"
"mu.dF[2]",-2.4,-3.9,-1.34,"dF","2"
"sigma.dF2[2]",0.06,0,0.69,"dF","2"
"beta.dF[2]",-0.26,-1.75,1.43,"dF","2"
"beta1.dF[2]",0.04,-0.04,0.12,"dF","2"
"mu.sV[1]",1.92,1.04,4.25,"sV","1"
"sigma.sV2[1]",1.4,0.05,8.93,"sV","1"
"beta.sV[1]",0.65,-0.79,9.51,"sV","1"
"mu.sF[1]",3.26,1.52,6.74,"sF","1"
"sigma.sF2[1]",3.04,0.07,25.97,"sF","1"
"beta.sF[1]",5.24,0.55,9.77,"sF","1"
"mu.fV[1]",-0.61,-1.15,-0.1,"fV","1"
"sigma.fV2[1]",0.13,0,1.09,"fV","1"
"beta.fV[1]",-1.06,-2.09,-0.14,"fV","1"
"beta1.fV[1]",0.07,-0.02,0.16,"fV","1"
"mu.fUV[1]",-2.83,-5.85,-0.41,"fUV","1"
"sigma.fUV2[1]",2.76,0,69.74,"fUV","1"
"beta.fUV[1]",-4.03,-9.69,4.48,"fUV","1"
"beta1.fUV[1]",-5.12,-9.75,-0.04,"fUV","1"
"mu.fUF[1]",0.18,-2.04,2.79,"fUF","1"
"sigma.fUF2[1]",13.45,0.21,86.97,"fUF","1"
"beta.fUF[1]",4.72,-3.41,9.73,"fUF","1"
"beta1.fUF[1]",-0.84,-2.08,0.05,"fUF","1"
"mu.fF[1]",0.7,0.17,1.31,"fF","1"
"sigma.fF2[1]",0.22,0,1.28,"fF","1"
"beta.fF[1]",0.49,-0.71,1.8,"fF","1"
"beta1.fF[1]",-0.06,-0.17,0.06,"fF","1"
"mu.dV[1]",-0.9,-1.54,-0.22,"dV","1"
"sigma.dV2[1]",0.25,0,1.39,"dV","1"
"beta.dV[1]",-0.91,-2.19,0.33,"dV","1"
"beta1.dV[1]",0.06,-0.05,0.16,"dV","1"
"mu.dUV[1]",0.84,-0.7,2.74,"dUV","1"
"sigma.dUV2[1]",2.09,0.09,17.1,"dUV","1"
"beta.dUV[1]",-2.49,-8.56,2.7,"dUV","1"
"beta1.dUV[1]",0.26,-0.03,0.75,"dUV","1"
"mu.dUF[1]",0.77,-0.76,2.32,"dUF","1"
"sigma.dUF2[1]",2,0.02,40.81,"dUF","1"
"beta.dUF[1]",1.05,-9.17,4.54,"dUF","1"
"beta1.dUF[1]",0.02,-9.46,0.43,"dUF","1"
"mu.dF[1]",-1.75,-2.58,-1.03,"dF","1"
"sigma.dF2[1]",0.21,0,2.16,"dF","1"
"beta.dF[1]",-0.88,-2.95,0.79,"dF","1"
"beta1.dF[1]",0.05,-0.12,0.22,"dF","1"
